yj21b,yj6.2,yj10.2,yj13.2,yj1.1.1,yj72.18a
36.0,40.0,2558.6380940091185,18000.0,2.0,2.0
23.0,40.0,6652.93764539369,19000.0,2.0,3.0
32.0,40.0,9105.702675329232,40000.0,2.0,2.0
19.0,40.0,1799.3528022048238,23000.0,2.0,1.0
28.0,50.0,5523.236496629165,14000.0,3.0,2.0
24.0,30.0,2416.845426652107,35338.13974354088,3.0,2.0
28.0,40.0,15000.0,40000.0,3.0,2.0
28.0,36.0,4000.0,18000.0,2.0,2.0
28.0,36.0,6000.0,22000.0,3.0,1.0
45.0,40.0,10000.0,40000.0,2.0,2.0
24.0,40.0,7162.820928996856,15000.0,3.0,2.0
24.0,40.0,5000.0,20000.0,3.0,2.0
14.0,40.0,2126.153005464226,10500.0,3.0,2.0
26.0,36.0,5548.502416828294,18000.0,2.0,3.0
28.0,40.0,15778.045606807318,16000.0,2.0,2.0
28.0,41.0,2461.224969895088,17000.0,2.0,2.0
17.0,45.0,2038.8312955885763,30000.0,4.0,2.0
35.0,40.0,7505.705924801463,43615.986364521246,3.0,2.0
31.0,40.0,1316.8372786546906,40000.0,2.0,3.0
28.0,40.0,3412.4179758541477,18000.0,2.0,2.0
33.0,60.0,12314.267092639344,15000.0,3.0,2.0
14.0,40.0,1892.3565532773287,21000.0,2.0,3.0
28.0,40.0,4218.383302714183,40000.0,2.0,3.0
21.0,40.0,6848.206857434069,20000.0,2.0,3.0
28.0,40.0,1863.848474781576,24000.0,2.0,2.0
28.0,40.0,4054.6776418621976,21000.0,2.0,2.0
30.0,48.0,3501.4691400656147,13000.0,2.0,3.0
29.0,36.0,2982.6033398939467,20043.91915775378,2.0,3.0
36.0,48.0,3836.826637686239,22000.0,2.0,1.0
18.0,40.0,6087.834560385193,12500.0,1.0,3.0
28.0,35.0,17256.7375917647,35000.0,3.0,3.0
36.0,40.0,3469.4334012734375,28000.0,2.0,2.0
28.0,40.0,755.3543379956103,12000.0,3.0,2.0
30.0,36.0,5600.0,18000.0,2.0,2.0
28.0,40.0,4470.449512740472,20000.0,2.0,2.0
36.0,48.0,2321.605396458895,32000.0,4.0,2.0
21.0,50.0,18000.0,20000.0,2.0,2.0
28.0,40.0,4008.21698553909,35000.0,3.0,2.0
33.0,40.0,1470.455121593612,15308.802580705602,2.0,2.0
28.0,40.0,7226.040078348319,25000.0,1.0,2.0
28.0,40.0,3841.468885797888,60000.0,2.0,3.0
14.0,40.0,7381.3549501675125,25000.0,3.0,3.0
38.0,30.0,7452.675385705523,12604.614342243949,2.0,3.0
28.0,54.0,7055.413316736102,12000.0,2.0,2.0
28.0,40.0,9108.417656322643,22000.0,2.0,2.0
28.0,40.0,7232.229004213932,13000.0,2.0,2.0
24.0,50.0,2153.8171204859327,52896.03040333417,3.0,2.0
14.0,48.0,9621.424781314474,17000.0,3.0,2.0
28.0,40.0,5000.0,20000.0,3.0,3.0
28.0,48.0,5124.591879233304,12400.0,3.0,2.0
36.0,42.0,2211.0650463152083,18000.0,2.0,2.0
42.0,40.0,5749.023797607606,15000.0,2.0,3.0
33.0,40.0,5633.760504382954,20000.0,2.0,2.0
14.0,48.0,5516.056064924914,20000.0,2.0,2.0
21.0,40.0,3872.9173742301514,50000.0,2.0,3.0
36.0,50.0,13909.033425950123,15383.909038931113,3.0,2.0
12.0,60.0,2567.953815377054,9248.577165772062,2.0,2.0
28.0,45.0,18000.0,38000.0,4.0,1.0
21.0,48.0,5155.402290588214,23000.0,2.0,2.0
20.0,48.0,4356.339839112221,40000.0,2.0,2.0
36.0,40.0,2385.1957008118866,15000.0,1.0,2.0
36.0,40.0,8402.308236695048,25000.0,2.0,2.0
15.0,45.0,6084.63164882718,25000.0,2.0,3.0
28.0,40.0,7801.10193095021,14000.0,2.0,2.0
